location,year,population,unemployment_rate,mean_household_income
Alabama,2010,54571,6,64733
Alabama,2010,182265,7,66054
Alabama,2010,27457,10,41710
Alabama,2010,22915,9,52292
Alabama,2010,57322,8,55476
Alabama,2010,10914,11,49226
Alabama,2010,20947,10,41165
Alabama,2010,118572,12,50337
Alabama,2010,34215,14,40393
Alabama,2010,25989,12,49201
Alabama,2010,43643,9,52296
Alabama,2010,13859,13,42669
Alabama,2010,25833,10,45652
Alabama,2010,13932,11,44304
Alabama,2010,14972,13,46341
Alabama,2010,49948,8,56399
Alabama,2010,54428,7,50479
Alabama,2010,13228,13,40997
Alabama,2010,11539,11,48207
Alabama,2010,37765,9,48407
Alabama,2010,13906,9,47820
Alabama,2010,80406,8,50801
Alabama,2010,50251,8,53380
Alabama,2010,43820,15,41387
Alabama,2010,71109,9,47291
Alabama,2010,79303,8,63370
Alabama,2010,38319,10,43123
Alabama,2010,104430,10,50026
Alabama,2010,17241,7,41909
Alabama,2010,31704,8,46038
Alabama,2010,26790,8,43510
Alabama,2010,9045,22,36678
Alabama,2010,15760,14,41007
Alabama,2010,17302,11,48685
Alabama,2010,101547,7,56518
Alabama,2010,53227,7,45624
Alabama,2010,658466,9,65169
Alabama,2010,14564,10,47615
Alabama,2010,92709,9,52999
Alabama,2010,34339,9,48705
Alabama,2010,140247,8,55567
Alabama,2010,82782,8,61801
Alabama,2010,11299,15,43645
Alabama,2010,21452,14,41707
Alabama,2010,334811,8,74304
Alabama,2010,21027,11,44760
Alabama,2010,30776,8,45173
Alabama,2010,93019,6,50978
Alabama,2010,412992,10,55272
Alabama,2010,23068,11,42962
Alabama,2010,229363,8,61229
Alabama,2010,119490,9,57816
Alabama,2010,10591,15,35597
Alabama,2010,19746,14,38880
Alabama,2010,32899,9,44797
Alabama,2010,22913,11,51016
Alabama,2010,52947,12,42025
Alabama,2010,83593,7,58970
Alabama,2010,195085,6,87725
Alabama,2010,13763,17,35831
Alabama,2010,82291,12,47255
Alabama,2010,41616,10,55481
Alabama,2010,194656,6,58032
Alabama,2010,67023,12,50971
Alabama,2010,17581,10,48757
Alabama,2010,11670,22,34585
Alabama,2010,24484,8,45163
Alaska,2010,3141,3,65923
Alaska,2010,5561,2,81401
Alaska,2010,291826,7,91251
Alaska,2010,17013,19,69184
Alaska,2010,997,11,88476
Alaska,2010,1826,2,78511
Alaska,2010,4847,15,76672
Alaska,2010,97581,7,79824
Alaska,2010,2508,6,64843
Alaska,2010,31275,6,89373
Alaska,2010,55400,9,70743
Alaska,2010,13477,7,71507
Alaska,2010,13592,6,73928
Alaska,2010,1631,10,55699
Alaska,2010,88995,10,78184
Alaska,2010,9492,17,67734
Alaska,2010,9430,25,80525
Alaska,2010,7523,26,65507
Alaska,2010,8881,7,73098
Alaska,2010,7029,13,72151
Alaska,2010,9636,10,74012
Alaska,2010,7459,27,47397
Alaska,2010,662,4,79072
Alaska,2010,5588,24,45463
Arizona,2010,71518,16,40762
Arizona,2010,131346,8,58119
Arizona,2010,134421,7,63284
Arizona,2010,53597,7,48377
Arizona,2010,37220,10,49430
Arizona,2010,8437,12,52969
Arizona,2010,20489,7,43362
Arizona,2010,3817117,7,73909
Arizona,2010,200186,11,51979
Arizona,2010,107449,12,49828
Arizona,2010,980263,8,61726
Arizona,2010,375770,8,60611
Arizona,2010,47420,12,52237
Arizona,2010,211033,7,58828
Arizona,2010,195751,11,51235
Arkansas,2010,19019,7,51570
Arkansas,2010,21853,10,45697
Arkansas,2010,41513,8,46811
Arkansas,2010,221339,5,66465
Arkansas,2010,36903,7,49516
Arkansas,2010,11508,7,45291
Arkansas,2010,5368,7,40409
Arkansas,2010,27446,8,47978
Arkansas,2010,11800,15,37631
Arkansas,2010,22995,9,45668
Arkansas,2010,16083,12,42936
Arkansas,2010,25970,7,48273
Arkansas,2010,8689,8,48861
Arkansas,2010,24552,12,50497
Arkansas,2010,21273,7,48219
Arkansas,2010,96443,8,55267
Arkansas,2010,61948,6,49278
Arkansas,2010,50902,13,47814
Arkansas,2010,17870,7,47785
Arkansas,2010,8116,10,40074
Arkansas,2010,13008,13,41443
Arkansas,2010,18509,12,45653
Arkansas,2010,113237,7,59387
Arkansas,2010,18125,8,45679
Arkansas,2010,12245,10,40662
Arkansas,2010,96024,8,52394
Arkansas,2010,17853,5,58299
Arkansas,2010,42090,8,45683
Arkansas,2010,22609,8,44741
Arkansas,2010,32923,11,47011
Arkansas,2010,13789,7,47437
Arkansas,2010,36647,7,48756
Arkansas,2010,13696,7,41446
Arkansas,2010,17997,11,39468
Arkansas,2010,77435,14,48368
Arkansas,2010,25540,8,41953
Arkansas,2010,7645,12,43978
Arkansas,2010,17415,9,37718
Arkansas,2010,10424,18,35162
Arkansas,2010,14134,12,47585
Arkansas,2010,13171,9,44825
Arkansas,2010,22353,8,48913
Arkansas,2010,68356,8,59934
Arkansas,2010,15717,4,48316
Arkansas,2010,16653,7,44334
Arkansas,2010,43462,8,49800
Arkansas,2010,46480,12,46772
Arkansas,2010,8149,11,40447
Arkansas,2010,9487,8,49468
Arkansas,2010,8997,11,50388
Arkansas,2010,8330,5,36344
Arkansas,2010,26120,13,42364
Arkansas,2010,10445,6,49950
Arkansas,2010,21757,17,39387
Arkansas,2010,11291,10,46346
Arkansas,2010,24583,12,40909
Arkansas,2010,20662,5,41302
Arkansas,2010,61754,7,51364
Arkansas,2010,8715,6,43556
Arkansas,2010,382748,7,64195
Arkansas,2010,17969,8,45507
Arkansas,2010,28258,14,38370
Arkansas,2010,107118,6,62574
Arkansas,2010,11233,9,44884
Arkansas,2010,8195,5,35868
