Indicator,"Opioid-related and other drug poisoning deaths per 100,000 people, by drug type"
Source,"Centers for Disease Control and Prevention, National Center for Health Statistics via CDC WONDER Database.<br />
<br />
Suggested Citation:<br />
<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE].<br />
<br />"
Notes,"Age-adjusted rates of drug-poisoning deaths, including those associated with certain opioids (natural and semi-synthetic opioids [e.g., hydrocodone, oxycodone], synthetic opioids [e.g., fentanyl], and heroin), and other selected drugs. Rates and standard errors obtained from the CDC WONDER Database using ICD-10 underlying cause-of-death codes X40&ndash;X44 (unintentional death), X60&ndash;X64 (suicide), X85 (homicide), and Y10&ndash;Y14 (death of undetermined intent) with multiple cause-of-death codes of T40.0 (opium), T40.1 (heroin), T40.2 (other opioids [i.e., natural and semi-synthetic opioids]), T40.3 (methadone), T40.4 (other synthetic opioids [i.e., those other than methadone]), T40.5 (cocaine) T40.6 (other and unspecified opioids) and T43.6 (psychostimulants with abuse potential). Deaths from specific types of drugs are not mutually exclusive (e.g., an overdose death may involve both heroin and synthetic opioids); because of that, death rates cannot be accurately summed across categories for a total rate. However, the categories all drugs and all opioids de-duplicate overdose death instances that involve multiple drugs. N/A indicates that data are suppressed because the rate is based on 20 or fewer deaths. In some years, deaths related to drug overdoses may be under-reported because of an unusually high number of death certificates with a cause listed as "pending" (e.g., Ohio and West Virginia in 2009). More information is available <a href="https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_03.pdf">here</a>."
Description,"Age-adjusted rates of deaths caused by drug poisoning (i.e., overdose), including those caused by natural and semi-synthetic opioids, synthetic opioids (non-methadone), the illegal opioid heroin, cocaine, and psychostimulants.<br />
<br />
Natural and semi-synthetic opioids: This category includes common prescription painkiller pills (e.g., hydrocodone and oxycodone). It includes deaths from painkillers that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also may include deaths from &ldquo;counterfeit&rdquo; painkiller pills that were illicitly trafficked.<br />
<br />
Synthetic opioids: This category include synthetic opioids (e.g., fentanyl). However, it excludes methadone, a synthetic opioid that is used both as a painkiller and as a U.S. Food and Drug Administration-approved medication for treating opioid use disorder. It includes deaths from synthetic that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also includes deaths from illicitly trafficked synthetic opioids, which may be sold inaccurately (i.e., sold as heroin when it actually is fentanyl) or combined with other drugs (i.e., mixed into heroin or counterfeit painkiller pills to increase their potency).<br />
<br />
Heroin: This category includes only heroin, which has no legal medical use in the United States and is exclusively trafficked illicitly. However, heroin may be mixed with other drugs (e.g., synthetic opioids).<br />
<br />
Cocaine: This category includes only cocaine, which is commonly used as an illicit recreational drug but also has some approved legal medical uses in the United States (e.g., as an anesthetic). Although cocaine is legally classified as a narcotic in the U.S., it is not pharmacologically an opioid. However, it is sometimes trafficked alongside or even mixed with illicit opioids such as heroin and fentanyl.<br />
<br />
Psychostimulants: This category includes various stimulant drugs, including legal prescription medications commonly used to treat attention deficit hyperactivity disorder (ADHD), such as Ritalin (methylphenidate) and Adderall (amphetamine); and methamphetamine, which has approved legal medical uses in the United States but is commonly illicitly manufactured and/or trafficked and used recreationally. Similar to prescription opioid painkillers, prescription psychostimulants are sometimes diverted from their intended medical use and abused. These psychostimulants are not opioids but are sometimes trafficked alongside or even mixed with illicit opioids such as heroin and fentanyl.<br />
<br />
All drugs: This category includes overdose deaths involving any drugs, including opioids, cocaine, psychostimulants and other drugs that aren't explicitly discussed (e.g., other prescription and over-the-counter medications, and other illicit substances). Note: This category uses the overdose underlying cause-of-death codes described above but does not specify any particular multiple cause-of-death codes.<br />
<br />
All opioids: This category includes overdose deaths involving any opioid, including natural and semi-synthetic opioids, synthetic opioids, heroin, as well as other opioids not broken out separately, such as opium, methadone, and other/unspecified opioids."


Fips,Location,Drug Type,TimeFrame,Data Type,Data,MOE
01,Alabama,All opioids,2011,"Rate per 100,000",3.76866,0.56355200663999994
02,Alaska,All opioids,2011,"Rate per 100,000",8.7183,2.1422427443199998
04,Arizona,All opioids,2011,"Rate per 100,000",8.78158,0.73565890299999992
05,Arkansas,All opioids,2011,"Rate per 100,000",6.16005,0.93955764027999999
06,California,All opioids,2011,"Rate per 100,000",4.95766,0.22266410655999999
08,Colorado,All opioids,2011,"Rate per 100,000",8.04706,0.77980735812000002
09,Connecticut,All opioids,2011,"Rate per 100,000",5.95419,0.82074756175999997
10,Delaware,All opioids,2011,"Rate per 100,000",12.58392,2.3526493891599998
11,Dist. of Columbia,All opioids,2011,"Rate per 100,000",7.96083,2.2263503015600001
12,Florida,All opioids,2011,"Rate per 100,000",8.44542,0.42459545856000003
13,Georgia,All opioids,2011,"Rate per 100,000",5.41276,0.46151577276
15,Hawaii,All opioids,2011,"Rate per 100,000",5.35211,1.22565238404
16,Idaho,All opioids,2011,"Rate per 100,000",5.13975,1.16592972776
17,Illinois,All opioids,2011,"Rate per 100,000",7.05841,0.46417168643999995
18,Indiana,All opioids,2011,"Rate per 100,000",5.60721,0.5898167044
19,Iowa,All opioids,2011,"Rate per 100,000",5.89256,0.89945480548000001
20,Kansas,All opioids,2011,"Rate per 100,000",4.32807,0.79402250507999994
21,Kentucky,All opioids,2011,"Rate per 100,000",15.80766,1.21404613428
22,Louisiana,All opioids,2011,"Rate per 100,000",2.52219,0.46675981744
23,Maine,All opioids,2011,"Rate per 100,000",6.74924,1.4791378904400001
24,Maryland,All opioids,2011,"Rate per 100,000",9.11672,0.77391212304000001
25,Massachusetts,All opioids,2011,"Rate per 100,000",9.87525,0.76778130576000003
26,Michigan,All opioids,2011,"Rate per 100,000",7.46818,0.55806270912
27,Minnesota,All opioids,2011,"Rate per 100,000",5.29832,0.62494764443999995
28,Mississippi,All opioids,2011,"Rate per 100,000",2.89283,0.64668157875999999
29,Missouri,All opioids,2011,"Rate per 100,000",10.21909,0.83471746763999999
30,Montana,All opioids,2011,"Rate per 100,000",6.82802,1.7458992431999998
31,Nebraska,All opioids,2011,"Rate per 100,000",2.81224,0.76809820248000005
32,Nevada,All opioids,2011,"Rate per 100,000",16.45062,1.5174374527200001
33,New Hampshire,All opioids,2011,"Rate per 100,000",11.52558,1.87518828924
34,New Jersey,All opioids,2011,"Rate per 100,000",5.13516,0.47869027864000002
35,New Mexico,All opioids,2011,"Rate per 100,000",11.91919,1.5318053307199999
36,New York,All opioids,2011,"Rate per 100,000",6.80516,0.36690164140000003
37,North Carolina,All opioids,2011,"Rate per 100,000",8.56519,0.59136000644000009
38,North Dakota,All opioids,2011,"Rate per 100,000",N/A,N/A
