original_original_location,original_original_year,original_original_population,original_original_unemployment_rate,original_original_mean_household_income,original_lat,original_lon,original_formatted,original_state,original_state_code,original_country,original_country_code,original_confidence,original_attribution,original_attribution_license,original_attribution_url,distance,formatted,lat,lon,name,housenumber,street,district,postcode,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
Alabama,2010,54571,6,64733,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,182265,7,66054,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,27457,10,41710,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,22915,9,52292,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,57322,8,55476,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,10914,11,49226,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,20947,10,41165,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,118572,12,50337,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,34215,14,40393,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
Alabama,2010,25989,12,49201,33.2588817,-86.8295337,"Alabama, United States of America",Alabama,AL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,36.14863747,"1129 Big Cloud Circle, Alabaster, AL 35007, United States of America",33.259197,-86.829439,,1129,Big Cloud Circle,,35007,Alabaster,Shelby County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
