FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Ecstasy,3,8.379946948
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Khat (Catha Edulis),4,1394.423807
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Marijuana,5,0.089397447
2019,APR,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Other Drugs**,8,42.66319556
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Cocaine,3,8.542912653
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ecstasy,7,0.851425256
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Fentanyl,1,2.623500918
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Heroin,2,1.267658007
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Khat (Catha Edulis),4,112.0096001
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Lsd,2,0.051147245
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Marijuana,33,26.73739858
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Methamphetamine,5,3.209269148
2019,APR,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Other Drugs**,19,10.53461282
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Cocaine,13,2.663625049
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ecstasy,153,16.11557089
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Fentanyl,6,1.447996137
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Heroin,16,23.98433199
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ketamine,33,0.949090038
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Lsd,18,0.091932763
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Marijuana,112,758.6427208
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Methamphetamine,14,75.41573058
2019,APR,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Other Drugs**,466,366.8557737
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Cocaine,1,0.343921129
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Khat (Catha Edulis),3,2525.395211
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Marijuana,29,8.736610796
2019,APR,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Other Drugs**,40,11.51452348
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Cocaine,24,90.7907026
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ecstasy,20,2.787083916
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Fentanyl,3,0.50970875
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Heroin,1,0.000440925
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ketamine,1,0.001102311
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Lsd,1,0.00881849
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Marijuana,199,1585.467761
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Methamphetamine,16,22.27665336
2019,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Other Drugs**,47,542.8328519
2019,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Cocaine,15,11.43403271
