"year","male","female","Total Overdose Deaths"," Any Opioid","Synthetic Opioids primarily fentanyl"," Stimulants WITHOUT Synthetic Opioids","Cocaine"," Stimulants AND Any Opioid","Heroin"," Benzodiazepines"," Benzodiazepines AND Any Opioid"," Cocaine AND Any Opioid"," Cocaine WITHOUT Synthetic Opioids"," Stimulants AND Synthetic Opioids"," Cocaine AND Synthetic Opioids","Heroin AND Synthetic Opioids","Antidepressants AND Any Opioid"," Prescription Opioids AND Synthetic Opioids other than","Benzodiazepines AND Synthetic Opioids","Grand Total"
"2011","101926","60339","41340","22784","2666","6491","4681","3255","4397","6872","5826","2505","4492","274","189","44","2501","889","665","346500"
"2012","102279","60853","41502","23166","2628","6618","4404","3340","5925","6524","5500","2448","4222","261","182","69","2536","861","655","347830"
"2013","113733","66060","43982","25052","3105","7965","4944","4037","8257","6973","5869","2831","4699","373","245","209","2763","1015","804","382448"
"2014","128254","73948","47055","28647","5544","8526","5415","4999","10574","7945","6733","3414","4787","869","628","1027","2983","1489","1222","429830"
"2015","152938","83259","52404","33091","9580","10153","6784","6594","12989","8791","7485","4506","5242","1969","1542","2685","3062","2263","1801","499764"
"2016","204243","101096","63632","42249","19413","12229","10375","10222","15469","10684","9233","7263","6191","5029","4184","5781","2960","4055","3308","641670"
"2017","241520","117206","70237","47600","28466","13877","13942","14455","15482","11537","10010","10131","6701","9262","7241","8091","3301","5444","4869","751064"
"2018","245011","117253","67367","46802","31335","14361","14666","16165","14996","10724","9140","10887","6007","11516","8659","9068","3019","5417","5066","756104"
"2019","265860","120983","70630","49860","36359","15604","15883","19192","14019","9711","8301","11998","5744","14627","10139","8746","3151","5876","5187","803458"
"2020","352053","151815","91799","68630","56516","16861","19447","27966","13165","12290","10771","15338","5544","23782","13903","8990","3611","8626","7983","1043510"
"2021","417370","181744","106699","80411","70601","19066","24486","37682","9173","12499","10992","19250","6333","34429","18153","6783","3767","9644","8759","1234944"
