"state","0_24","24_34","35_44","45_54","55+","Total"
"United States",6531,20279,21100,15599,16894,80411
"Alabama",80,254,327,175,145,981
"Alaska",20,64,48,41,28,201
"Arizona",283,612,479,305,321,2000
"Arkansas",24,138,104,66,54,386
"California",846,1922,1563,1197,1649,7181
"Colorado",178,367,335,192,217,1289
"Connecticut",69,239,352,327,406,1393
"Delaware",17,90,136,107,100,450
"District of Columbia",14,35,38,55,206,348
"Florida",327,1492,1752,1199,1169,5940
"Georgia",166,517,507,341,268,1799
"Hawaii",0,17,20,13,33,91
"Idaho",29,66,56,31,54,236
"Illinois",230,618,672,684,846,3050
"Indiana",212,626,605,379,384,2206
"Iowa",40,78,58,38,45,259
"Kansas",61,131,110,61,72,435
"Kentucky",142,444,585,393,333,1897
"Louisiana",100,341,401,272,221,1335
"Maine",29,115,166,116,121,547
"Maryland",125,527,538,534,735,2460
"Massachusetts",123,482,636,510,516,2267
"Michigan",134,620,669,479,634,2536
"Minnesota",138,284,224,172,160,978
"Mississippi",56,148,171,95,86,556
"Missouri",161,466,422,267,266,1582
"Montana",0,31,34,21,21,114
"Nebraska",22,30,22,20,19,113
"Nevada",74,161,123,101,146,605
"New Hampshire",23,111,98,71,79,382
"New Jersey",140,567,648,627,690,2672
"New Mexico",71,208,183,139,148,750
"New York",249,1044,1238,1040,1375,4946
"North Carolina",283,996,947,630,483,3339
"North Dakota",13,28,23,0,0,74
"Ohio",247,1120,1303,935,851,4456
"Oklahoma",59,128,104,81,96,468
"Oregon",86,188,186,138,180,779
"Pennsylvania",251,1032,1126,806,866,4081
"Rhode Island",22,103,100,84,76,385
"South Carolina",147,444,447,362,312,1712
"South Dakota",0,0,0,13,0,46
"Tennessee",218,768,910,610,532,3038
"Texas",393,810,651,431,485,2770
"Utah",41,124,121,81,79,446
"Vermont",19,52,67,49,31,218
"Virginia",196,583,570,437,444,2230
"Washington",174,389,377,296,387,1623
"West Virginia",70,284,400,281,218,1253
"Wisconsin",99,363,420,282,273,1437
"Wyoming",0,13,20,0,21,71
